product,description,review,rating,price,num_ratings,num_reviews,ram_gb,storage_gb,display_inch,camera_mp,battery_mah,warranty_years
"SAMSUNG Galaxy S24 FE 5G (Graphite, 256 GB)",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,695 Ratings & 59 Reviews,4.5,47990.0,695.0,59.0,8.0,256.0,6.7,50.0,4700.0,1.0
"Honor 200 Pro 5G (Black, 512 GB)",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP | 50MP Front Camera5200 mAh BatterySnapdragon 8s Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories,20 Ratings & 3 Reviews,4.1,41999.0,20.0,3.0,12.0,512.0,6.78,50.0,5200.0,1.0
"realme GT 5G (Dashing Silver, 128 GB)",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Full HD+ Display64MP + 8MP + 2MP | 16MP Front Camera4500 mAh BatteryQualcomm Snapdragon 888 Processor1 Year Warranty for Mobile and 6 Months for Accessories,"1,574 Ratings & 184 Reviews",4.2,40999.0,574.0,184.0,8.0,128.0,6.43,50.0,4500.0,1.0
"SAMSUNG Galxy S24 FE 5G (Mint, 128 GB)",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,122 Ratings & 10 Reviews,4.5,41999.0,122.0,10.0,8.0,128.0,6.7,50.0,4700.0,1.0
"SAMSUNG Galaxy A56 5G (Awesome Graphite, 256 GB)",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatteryExynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,38 Ratings & 6 Reviews,4.6,47999.0,38.0,6.0,12.0,256.0,6.7,50.0,5000.0,1.0
"Honor 200 Pro 5G (Ocean Cyan, 512 GB)",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP | 50MP Front Camera5200 mAh BatterySnapdragon 8s Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories,20 Ratings & 3 Reviews,4.1,41999.0,20.0,3.0,12.0,512.0,6.78,50.0,5200.0,1.0
"OnePlus 12R (Iron Grey, 256 GB)",16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty,"4,290 Ratings & 269 Reviews",4.5,42399.0,290.0,269.0,16.0,256.0,6.78,50.0,5500.0,1.0
"vivo V50 5G (Starry Night, 512 GB)",12 GB RAM | 512 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,658 Ratings & 76 Reviews,4.5,40999.0,658.0,76.0,12.0,512.0,6.77,50.0,6000.0,1.0
"IQOO Neo9 Pro (Conqueror Black, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5160 mAh Battery1 Year,591 Ratings & 38 Reviews,4.5,41990.0,591.0,38.0,8.0,256.0,6.78,50.0,5160.0,1.0
"OPPO Reno 12 Pro 5G (Sunset Gold, 512 GB)",12 GB RAM | 512 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"4,617 Ratings & 380 Reviews",4.4,40999.0,617.0,380.0,12.0,512.0,6.7,50.0,5000.0,1.0
